entry_threshold,stop_loss_pct,take_profit_pct,min_confidence,sharpe,max_dd_pct,total_ret_pct,n_trades
0.08,0.02,0.04,0.5,0.9954820389884415,-86.23297283995079,-62.96739672221403,1136
0.1,0.02,0.04,0.5,0.9812545324692215,-83.78438284520074,-56.31277730600779,1025
0.08,0.03,0.04,0.5,0.97240874218944,-85.83688056794892,-67.13700799428557,997
0.1,0.03,0.04,0.45,0.950035111641759,-84.5479292352797,-71.00233835076449,889
0.1,0.04,0.04,0.5,0.9433213402699896,-84.15297321215772,-62.23274670842882,792
0.1,0.03,0.04,0.5,0.9416067473083941,-83.74957410934127,-60.655320117044354,884
0.08,0.04,0.04,0.5,0.9184562473538928,-85.46076230107593,-66.12318722685524,916
0.08,0.05,0.04,0.5,0.9169588191478926,-84.64896663230341,-62.006132666218164,863
0.1,0.03,0.04,0.4,0.9116247886277264,-83.77423519593076,-72.3814548635407,913
0.1,0.05,0.04,0.5,0.9088229280950162,-83.66109256480273,-57.173284939633525,742
0.1,0.02,0.04,0.45,0.8752582150485656,-83.02286368854297,-70.37085595650368,1055
0.1,0.02,0.04,0.4,0.8672335603728744,-82.83730051024204,-72.95003597992103,1080
0.08,0.02,0.06,0.5,0.8625622690050603,-82.26527452673174,-53.97592993373368,967
0.1,0.02,0.12,0.45,0.8614732754650133,-82.48434659355513,-59.97486403489778,778
0.1,0.02,0.06,0.45,0.8612489522976421,-82.93527765162058,-63.56803232802761,891
0.1,0.02,0.06,0.5,0.8491880729332849,-81.71316926821743,-58.69129874269691,878
0.1,0.04,0.04,0.45,0.8460848198548723,-81.93822533595171,-65.45972118161767,792
0.12,0.02,0.04,0.45,0.8426278542269329,-82.0670529711617,-43.95002864592112,939
0.1,0.02,0.12,0.4,0.8419266582478514,-78.88765245092179,-56.193628443231766,782
0.1,0.03,0.06,0.45,0.8416978989089114,-81.58075303617198,-68.8685763992872,772
0.1,0.03,0.06,0.4,0.8400172385208953,-81.07140802303425,-67.23434884782547,791
0.1,0.04,0.12,0.4,0.8390874872784629,-77.61182217268554,-56.02623828868718,623
0.1,0.02,0.06,0.4,0.838492187808132,-80.96327984413665,-67.90807733303829,910
0.1,0.02,0.1,0.45,0.8361463756721659,-81.84151624191183,-66.3128390810699,785
0.1,0.03,0.12,0.45,0.8332179268219669,-81.11899566266288,-60.63295574563765,670
0.16,0.05,0.04,0.5,0.8320883331856035,-77.44504748899116,-16.81706901325971,542
0.08,0.02,0.12,0.5,0.8293655901683323,-77.52295660205321,-46.70283998347369,822
0.14,0.02,0.04,0.5,0.8280063182531242,-76.06601974550344,-18.959809429558096,813
0.1,0.03,0.06,0.5,0.827715370105706,-82.24113744864059,-63.31441664969388,769
0.1,0.04,0.04,0.4,0.827052888751548,-81.13777933977224,-68.63270352519982,812
0.08,0.03,0.06,0.5,0.825082836834639,-82.69883677847115,-59.7310081796187,860
0.1,0.04,0.06,0.45,0.8237748191250813,-79.31138023416514,-63.32482901454222,709
0.1,0.03,0.12,0.4,0.8235824592747077,-77.80340113312168,-55.42991600864317,671
0.1,0.05,0.04,0.45,0.8233862493448323,-81.31513215273756,-64.27764635151023,743
0.1,0.04,0.12,0.45,0.821183865718443,-79.29011472664884,-57.63875159617516,613
